id	date	fajr	maghrib	region_id
221	2021-05-07	4:03:00	19:43:00	7
222	2021-05-08	4:02:00	19:44:00	7
223	2021-05-09	4:00:00	19:46:00	7
224	2021-05-10	4:00:00	19:47:00	7
225	2021-05-11	3:58:00	19:48:00	7
226	2021-05-12	3:57:00	19:49:00	7
227	2021-04-13	4:34:00	19:08:00	8
228	2021-04-14	4:33:00	19:09:00	8
229	2021-04-15	4:31:00	19:10:00	8
230	2021-04-16	4:29:00	19:11:00	8
231	2021-04-17	4:27:00	19:12:00	8
232	2021-04-18	4:25:00	19:13:00	8
233	2021-04-19	4:23:00	19:14:00	8
234	2021-04-20	4:23:00	19:15:00	8
235	2021-04-21	4:21:00	19:16:00	8
236	2021-04-22	4:19:00	19:18:00	8
237	2021-04-23	4:17:00	19:19:00	8
238	2021-04-24	4:15:00	19:20:00	8
239	2021-04-25	4:14:00	19:21:00	8
240	2021-04-26	4:12:00	19:22:00	8
241	2021-04-27	4:10:00	19:23:00	8
242	2021-04-28	4:08:00	19:24:00	8
243	2021-04-29	4:07:00	19:25:00	8
244	2021-04-30	4:05:00	19:26:00	8
245	2021-05-01	4:03:00	19:27:00	8
246	2021-05-02	4:01:00	19:28:00	8
247	2021-05-03	4:00:00	19:29:00	8
248	2021-05-04	3:58:00	19:30:00	8
249	2021-05-05	3:56:00	19:31:00	8
250	2021-05-06	3:55:00	19:32:00	8
251	2021-05-07	3:53:00	19:33:00	8
252	2021-05-08	3:52:00	19:34:00	8
253	2021-05-09	3:50:00	19:36:00	8
254	2021-05-10	3:50:00	19:36:00	8
255	2021-05-11	3:48:00	19:37:00	8
256	2021-05-12	3:47:00	19:38:00	8
257	2021-04-13	5:01:00	19:42:00	9
258	2021-04-14	5:00:00	19:43:00	9
259	2021-04-15	4:58:00	19:44:00	9
260	2021-04-16	4:56:00	19:45:00	9
261	2021-04-17	4:54:00	19:46:00	9
262	2021-04-18	4:52:00	19:47:00	9
263	2021-04-19	4:50:00	19:48:00	9
264	2021-04-20	4:48:00	19:49:00	9
265	2021-04-21	4:46:00	19:50:00	9
266	2021-04-22	4:44:00	19:52:00	9
267	2021-04-23	4:42:00	19:53:00	9
268	2021-04-24	4:40:00	19:54:00	9
269	2021-04-25	4:39:00	19:55:00	9
270	2021-04-26	4:37:00	19:56:00	9
271	2021-04-27	4:35:00	19:57:00	9
272	2021-04-28	4:33:00	19:58:00	9
273	2021-04-29	4:32:00	19:59:00	9
274	2021-04-30	4:29:00	20:01:00	9
275	2021-05-01	4:27:00	20:02:00	9
276	2021-05-02	4:25:00	20:03:00	9
277	2021-05-03	4:24:00	20:04:00	9
278	2021-05-04	4:22:00	20:05:00	9
279	2021-05-05	4:20:00	20:06:00	9
280	2021-05-06	4:19:00	20:07:00	9
281	2021-05-07	4:17:00	20:08:00	9
282	2021-05-08	4:16:00	20:09:00	9
283	2021-05-09	4:14:00	20:11:00	9
284	2021-05-10	4:12:00	20:12:00	9
285	2021-05-11	4:10:00	20:13:00	9
